ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
A_23_P133474,1.10E-13,2.69E-18,-1.71E+01,30.369927,-5.85,GPX3,glutathione peroxidase 3
A_23_P129133,2.69E-12,1.31E-16,-1.50E+01,26.960267,-6.63,OCA2,OCA2 melanosomal transmembrane protein
A_23_P61498,4.22E-12,3.08E-16,-1.46E+01,26.198024,-1.17E+01,KRT76,keratin 76
A_32_P194062,1.13E-11,1.10E-15,-1.40E+01,25.050272,-7.33,TYR,tyrosinase
A_23_P312851,2.17E-11,2.65E-15,-1.36E+01,24.257429,-5.13,PMEL,premelanosome protein
A_23_P363275,2.90E-11,4.25E-15,1.33E+01,23.827079,3.08,WDR66,WD repeat domain 66
A_23_P166269,3.18E-11,5.43E-15,-1.32E+01,23.603554,-7.93,FAM3B,family with sequence similarity 3 member B
A_24_P174353,7.15E-11,1.40E-14,-1.28E+01,22.739529,-6.27,,
A_23_P41789,9.01E-11,1.98E-14,-1.26E+01,22.41894,-5.51,SLC27A6,solute carrier family 27 member 6
A_23_P213832,1.91E-10,4.65E-14,-1.23E+01,21.631501,-4.45,SPINK7,"serine peptidase inhibitor, Kazal type 7 (putative)"
A_32_P165047,8.88E-10,2.38E-13,-1.16E+01,20.11573,-4.73,,
A_23_P355295,1.42E-09,4.15E-13,-1.13E+01,19.597115,-6.52,FMO2,flavin containing monooxygenase 2
A_23_P25150,1.49E-09,4.71E-13,1.13E+01,19.47929,5.67,HOXC9,homeobox C9
A_23_P35755,1.93E-09,6.59E-13,-1.11E+01,19.165109,-6.79,TYR,tyrosinase
A_23_P301942,2.17E-09,7.92E-13,-1.11E+01,18.99295,-4.98,NPPC,natriuretic peptide C
A_23_P2233,3.19E-09,1.25E-12,-1.09E+01,18.568581,-3.59,PMEL,premelanosome protein
A_23_P157338,3.97E-09,1.65E-12,-1.08E+01,18.306608,-4.95,VWC2,von Willebrand factor C domain containing 2
A_23_P431971,7.15E-09,3.14E-12,-1.05E+01,17.700568,-4.68,CRTAC1,cartilage acidic protein 1
A_24_P63178,1.93E-08,8.94E-12,-1.01E+01,16.713154,-4.9,CHL1,cell adhesion molecule L1 like
A_23_P91970,1.93E-08,9.79E-12,-1.00E+01,16.627233,-7.04,AADACL2,arylacetamide deacetylase like 2
A_32_P859499,1.93E-08,9.90E-12,-1.00E+01,16.616761,-4.5,HCG22,HLA complex group 22
A_23_P94403,2.34E-08,1.26E-11,-9.95,16.390043,-7.66,TYRP1,tyrosinase related protein 1
A_23_P116902,2.39E-08,1.44E-11,-9.9,16.26442,-5.89,ART4,ADP-ribosyltransferase 4 (Dombrock blood group)
A_23_P58228,2.39E-08,1.55E-11,-9.87,16.193211,-8.76,ODAM,"odontogenic, ameloblast asssociated"
A_24_P522786,2.39E-08,1.55E-11,-9.87,16.192526,-4.52,LOC441178,uncharacterized LOC441178
A_23_P81190,2.39E-08,1.57E-11,-9.87,16.178367,-9.73,TMPRSS11B,"transmembrane protease, serine 11B"
A_23_P119593,2.39E-08,1.58E-11,-9.86,16.176914,-3.44,EPHX3,epoxide hydrolase 3
A_23_P430948,2.42E-08,1.65E-11,-9.85,16.130867,-4.44,ATP13A4,ATPase 13A4
A_23_P212241,2.43E-08,1.72E-11,-9.83,16.0958,-5.57,CHL1,cell adhesion molecule L1 like
A_23_P215744,2.45E-08,1.90E-11,-9.79,16.000604,-6.05,CTTNBP2,cortactin binding protein 2
A_23_P80570,2.45E-08,1.95E-11,-9.78,15.975212,-5.24,AADAC,arylacetamide deacetylase
A_23_P10902,2.45E-08,1.96E-11,-9.78,15.969792,-5.09,FRZB,frizzled-related protein
A_23_P122924,2.45E-08,1.97E-11,9.78,15.964119,4.93,INHBA,inhibin beta A subunit
A_23_P1691,2.71E-08,2.25E-11,9.73,15.840912,5.12,MMP1,matrix metallopeptidase 1
A_23_P33573,3.79E-08,3.24E-11,-9.59,15.493495,-5.43,KRT3,keratin 3
A_32_P229618,4.59E-08,4.03E-11,-9.51,15.286558,-5.1,DLG2,discs large MAGUK scaffold protein 2
A_23_P89981,4.69E-08,4.24E-11,-9.49,15.238447,-5.87,CYP2F1,cytochrome P450 family 2 subfamily F member 1
A_23_P17134,5.02E-08,4.66E-11,-9.45,15.148734,-8.8,MAL,"mal, T-cell differentiation protein"
A_23_P124514,5.76E-08,5.48E-11,-9.39,14.994376,-4.01,DLG2,discs large MAGUK scaffold protein 2
A_23_P63534,6.85E-08,6.68E-11,9.31,14.805434,2.45,XPR1,xenotropic and polytropic retrovirus receptor 1
A_23_P363778,7.94E-08,8.03E-11,-9.24,14.629899,-4.93,FRZB,frizzled-related protein
A_24_P62800,7.94E-08,8.13E-11,-9.24,14.618007,-4.79,KLHDC8A,kelch domain containing 8A
